Title,Description,Priority,Status,Labels
[52-01] Setup Playwright auth test structure,"Create test fixtures and helpers for auth E2E tests.

**Deliverable:**
- tests/e2e/auth/fixtures.ts
- Login page object model
- Test data factories

**Time:** ~20 min",Medium,Backlog,testing;e2e;p52
[52-02] E2E test: Email signup flow,"Playwright test for email/password signup.

**Scenario:**
1. Navigate to /signup
2. Fill email and password
3. Submit form
4. Verify redirect to onboarding

**Time:** ~15 min",Medium,Backlog,testing;e2e;p52
[52-03] E2E test: Email login flow,"Playwright test for email/password login.

**Scenario:**
1. Navigate to /login
2. Enter credentials
3. Verify dashboard redirect
4. Verify session exists

**Time:** ~15 min",Medium,Backlog,testing;e2e;p52
[52-04] E2E test: OAuth Google flow,"Playwright test for Google OAuth login.

**Scenario:**
1. Click Google sign-in button
2. Mock OAuth callback
3. Verify account creation
4. Verify dashboard redirect

**Time:** ~20 min",Medium,Backlog,testing;e2e;p52
[52-05] E2E test: Password reset flow,"Playwright test for forgot password.

**Scenario:**
1. Navigate to /forgot-password
2. Enter email
3. Verify email sent message
4. Mock reset link click
5. Verify password updated

**Time:** ~20 min",Medium,Backlog,testing;e2e;p52
[52-06] E2E test: Onboarding wizard,"Playwright test for onboarding steps.

**Scenario:**
1. Complete profile step
2. Connect platform step
3. Select goals step
4. Verify dashboard redirect

**Time:** ~25 min",Medium,Backlog,testing;e2e;p52
[52-07] E2E test: Session management,"Playwright test for logout and remember me.

**Scenario:**
1. Login with remember me
2. Verify session persists
3. Logout
4. Verify redirect to login

**Time:** ~15 min",Medium,Backlog,testing;e2e;p52
[53-01] Setup Playwright dashboard fixtures,"Create fixtures for dashboard E2E tests.

**Deliverable:**
- tests/e2e/dashboard/fixtures.ts
- Authenticated user context
- Dashboard page objects

**Time:** ~20 min",Medium,Backlog,testing;e2e;p53
[53-02] E2E test: Dashboard sidebar nav,"Test sidebar navigation works.

**Scenario:**
1. Click each sidebar item
2. Verify correct page loads
3. Verify active state

**Time:** ~20 min",Medium,Backlog,testing;e2e;p53
[53-03] E2E test: Campaign create flow,"Test creating a new campaign.

**Scenario:**
1. Navigate to campaigns
2. Click create button
3. Fill form fields
4. Submit and verify created

**Time:** ~20 min",Medium,Backlog,testing;e2e;p53
[53-04] E2E test: Post scheduling,"Test scheduling a post.

**Scenario:**
1. Navigate to create post
2. Enter content
3. Select date/time
4. Verify on calendar

**Time:** ~20 min",Medium,Backlog,testing;e2e;p53
